test
Task ID; Task Name;Status;Due Date Text;Start Date Text;Parent ID;Assignees;Priority;Time Estimated Text
86c2qfwyr;Valider les documents avec un juriste;taches à completer;;;86c2qfwg9;[Constant Suchet];3;30 m
86c2qfua9;Compléter la homepage du site web;taches en planning;3/29/2025, 4:00:00 AM GMT+1;;null;[Constant Suchet];2;
86c2qfutm;Ajouter une section de connexion rapide;taches à completer;;;86c2qfua9;[Constant Suchet];3;45 m
86c2qfugq;Télécharger et installer LLVM pour ARM;taches à completer;;;86c2qfuaa;[Constant Suchet];2;1 h 30 m
86c2qfwyw;Tester le processus de connexion;taches à completer;;;86c2qfwge;[Constant Suchet];2;15 m
86c2qwhv6;Création d'un tutorial d'utilisation;taches à completer;;;null;[Constant Suchet];3;10 h
86c2qr3y9;Tester la réactivité sur desktop et mobile;taches à completer;;;86c2qqxkd;[];null;10 m
86c2qxzd6;Rajouter des themes de dashboard;taches à completer;;;null;[Constant Suchet];null;
86c2qk3w1;Ajout de l'authentification avec code mobile;taches à completer;;;86c2qk38c;[];null;2 h 30 m
86c2qrb04;Optimiser les animations et transitions pour une meilleure UX;taches à completer;;;86c2qqxkd;[];null;2 h
86c2qr9wk;Calculer les tendances et variations;taches à completer;;;86c2qqxkd;[];null;2 h
86c2qfuaa;Installer les packages de compilation LLVM arm sur la VM;taches en planning;3/25/2025, 4:00:00 AM GMT+1;3/25/2025, 12:00:00 AM GMT+1;null;[Constant Suchet];3;
86c2qranc;Implémenter les graphiques en barres et courbes;taches à completer;;;86c2qqxkd;[];null;2 h 30 m
86c2qfwyq;Rédiger la politique de confidentialité;taches à completer;;;86c2qfwg9;[Constant Suchet];2;1 h
86c2qx3f7;Accepter seulement certaines applications ou inverse en enlevé;taches à completer;;;86c2qx352;[];null;
86c2qx0f4;Rajout d'un chronométre pour calculer le temps passé sur des activités plutot que des applications directement;taches à completer;;;null;[Constant Suchet];null;
86c2qr9qd;Créer des requêtes pour agréger les données (jour/semaine/mois/année);taches à completer;;;86c2qqxkd;[];null;10 m
86c2qx64v;Activer un mode urgence qui bloque tout les applications de distractions;taches à completer;;;null;[Constant Suchet];null;
86c2qxa29;Rajouter des icones humanisées enervé etc pour les alertes;taches à completer;;;null;[Constant Suchet];null;
86c2qk3qa;Ajout de l'authentification automatique avec popup google;taches à completer;;;86c2qk38c;[];null;1 h
86c2qx0xy;Création de badges, récompenses, gamification;taches à completer;;;null;[Constant Suchet];null;
86c2qwy7c;Pouvoir rajouter des tags aux applications;taches à completer;;;null;[Constant Suchet];null;
86c2qwxqd;Envoie d'un mail d'utilisations mensuelles / hebdomadaire à l'utilisateur;taches à completer;;;null;[Constant Suchet];null;
86c2qravn;Ajouter les filtres interactifs (sélection d’application, période);taches à completer;;;86c2qqxkd;[];null;50 m
86c2qqxkd;Création du Dashboard;taches en planning;4/21/2025, 4:00:00 AM GMT+2;;null;[Constant Suchet];1;
86c2qr3y8;Valider l’exactitude des données affichées;taches à completer;;;86c2qqxkd;[];null;15 m
86c2qwzcy;Bloquage de certains types d'applications ou apps;taches à completer;;;86c2qwwc6;[Constant Suchet];null;
86c2qk447;Ajout de passcode avec passkey (apple touch etc);taches à completer;;;86c2qk38c;[];null;1 h 30 m
86c2qfwg9;Créer les premiers dossiers légaux;taches en planning;3/29/2025, 4:00:00 AM GMT+1;;null;[Constant Suchet];3;4 h
